"title","type","duration"
"The Great British Baking Show","TV Show","9 Seasons"
"Nailed It","TV Show","6 Seasons"
"Numberblocks","TV Show","6 Seasons"
"Saved by the Bell","TV Show","9 Seasons"
"Lucifer","TV Show","6 Seasons"
"Grace and Frankie","TV Show","7 Seasons"
"30 Rock","TV Show","7 Seasons"
"Hunter X Hunter (2011)","TV Show","6 Seasons"
"The Flash","TV Show","7 Seasons"
"The Walking Dead","TV Show","10 Seasons"
"My Little Pony: Friendship Is Magic","TV Show","8 Seasons"
"Orange Is the New Black","TV Show","7 Seasons"
"Terrace House: Opening New Doors","TV Show","6 Seasons"
"Grey's Anatomy","TV Show","17 Seasons"
"Glee","TV Show","6 Seasons"
"Schitt's Creek","TV Show","6 Seasons"
"Downton Abbey","TV Show","6 Seasons"
"Gilmore Girls","TV Show","7 Seasons"
"House of Cards","TV Show","6 Seasons"
"Men on a Mission","TV Show","6 Seasons"
"Heartland","TV Show","13 Seasons"
"Total Drama","TV Show","7 Seasons"
"Still Game","TV Show","9 Seasons"
"Stargate SG-1","TV Show","10 Seasons"
"Heartbreak High","TV Show","7 Seasons"
"American Horror Story","TV Show","9 Seasons"
"Dawson's Creek","TV Show","6 Seasons"
"LEGO Ninjago: Masters of Spinjitzu","TV Show","10 Seasons"
"Marvel's Agents of S.H.I.E.L.D.","TV Show","7 Seasons"
"The 100","TV Show","7 Seasons"
"Wentworth","TV Show","8 Seasons"
"The Blacklist","TV Show","7 Seasons"
"Call the Midwife","TV Show","9 Seasons"
"Girlfriends","TV Show","8 Seasons"
"Sister, Sister","TV Show","6 Seasons"
"Moesha","TV Show","6 Seasons"
"Shameless (U.S.)","TV Show","10 Seasons"
"Cable Girls","TV Show","6 Seasons"
"How to Get Away with Murder","TV Show","6 Seasons"
"Supernatural","TV Show","15 Seasons"
"Patriot Act with Hasan Minhaj","TV Show","6 Seasons"
"Madam Secretary","TV Show","6 Seasons"
"El señor de los Cielos","TV Show","7 Seasons"
"Community","TV Show","6 Seasons"
"Saint Seiya","TV Show","6 Seasons"
"Arrow","TV Show","8 Seasons"
"The Ranch","TV Show","8 Seasons"
"Private Practice","TV Show","6 Seasons"
"Trolls: The Beat Goes On!","TV Show","8 Seasons"
"BoJack Horseman","TV Show","6 Seasons"
"Naruto","TV Show","9 Seasons"
"Comedians in Cars Getting Coffee","TV Show","6 Seasons"
"New Girl","TV Show","7 Seasons"
"Spirit: Riding Free","TV Show","8 Seasons"
"Chef's Table","TV Show","6 Seasons"
"COMEDIANS of the world","TV Show","13 Seasons"
"Voltron: Legendary Defender","TV Show","8 Seasons"
"Kopitiam","TV Show","7 Seasons"
"Kath and Kim","TV Show","6 Seasons"
"NCIS","TV Show","15 Seasons"
"Star Trek: The Next Generation","TV Show","7 Seasons"
"Trailer Park Boys","TV Show","12 Seasons"
"Dragons: Race to the Edge","TV Show","6 Seasons"
"Under Arrest","TV Show","8 Seasons"
"The Adventures of Puss in Boots","TV Show","6 Seasons"
"Longmire","TV Show","6 Seasons"
"Project Mc²","TV Show","6 Seasons"
"West Coast Customs","TV Show","6 Seasons"
"Star Trek: Voyager","TV Show","7 Seasons"
"Offspring","TV Show","7 Seasons"
"The Vampire Diaries","TV Show","8 Seasons"
"Criminal Minds","TV Show","12 Seasons"
"Star Trek: Deep Space Nine","TV Show","7 Seasons"
"Forensic Files","TV Show","9 Seasons"
"Danger Mouse: Classic Collection","TV Show","10 Seasons"
"Cheers","TV Show","11 Seasons"
"Club Friday The Series 6","TV Show","9 Seasons"
"Club Friday The Series 7","TV Show","7 Seasons"
"Club Friday The Series 8","TV Show","8 Seasons"
"Dad's Army","TV Show","10 Seasons"
"Dexter","TV Show","8 Seasons"
"Father Brown","TV Show","6 Seasons"
"Frasier","TV Show","11 Seasons"
"Friends","TV Show","10 Seasons"
"Gossip Girl","TV Show","6 Seasons"
"Mad Men","TV Show","7 Seasons"
"Nurse Jackie","TV Show","7 Seasons"
"Parks and Recreation","TV Show","7 Seasons"
"Portlandia","TV Show","8 Seasons"
"Red vs. Blue","TV Show","13 Seasons"
"Republic of Doyle","TV Show","6 Seasons"
"Royal Pains","TV Show","8 Seasons"
"Scandal","TV Show","7 Seasons"
"That '70s Show","TV Show","8 Seasons"
"The Andy Griffith Show","TV Show","8 Seasons"
"The L Word","TV Show","6 Seasons"
"The Office (U.S.)","TV Show","9 Seasons"
"The West Wing","TV Show","7 Seasons"
"Weeds","TV Show","8 Seasons"
